"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2023","0.084960","0.089272","0.091886","0.084773","2.39B","-4.84%"
"Feb 15, 2023","0.089283","0.083555","0.089572","0.082673","2.54B","6.86%"
"Feb 14, 2023","0.083554","0.082033","0.083690","0.080419","1.14B","1.85%"
"Feb 13, 2023","0.082032","0.082192","0.086367","0.079586","2.24B","-0.19%"
"Feb 12, 2023","0.082192","0.082255","0.085786","0.081250","1.25B","-0.07%"
"Feb 11, 2023","0.082250","0.080924","0.082563","0.080682","549.61M","1.64%"
"Feb 10, 2023","0.080922","0.081454","0.082946","0.079820","1.45B","-0.65%"
"Feb 09, 2023","0.081454","0.090170","0.090927","0.079612","2.36B","-9.67%"
"Feb 08, 2023","0.090170","0.092537","0.093308","0.088645","1.10B","-2.56%"
"Feb 07, 2023","0.092537","0.089549","0.092728","0.089458","1.14B","3.44%"
"Feb 06, 2023","0.089463","0.092083","0.093233","0.088828","1.27B","-2.85%"
"Feb 05, 2023","0.092083","0.095679","0.096899","0.090594","2.10B","-3.75%"
"Feb 04, 2023","0.095672","0.092877","0.099721","0.092552","3.02B","3.01%"
"Feb 03, 2023","0.092876","0.090976","0.093325","0.090390","1.49B","2.16%"
"Feb 02, 2023","0.090914","0.093948","0.095820","0.090279","2.13B","-3.24%"
"Feb 01, 2023","0.093957","0.096109","0.096882","0.088379","3.29B","-2.23%"
"Jan 31, 2023","0.096096","0.088385","0.097679","0.088307","4.52B","8.72%"
"Jan 30, 2023","0.088386","0.090147","0.092611","0.085046","2.50B","-1.95%"
"Jan 29, 2023","0.090147","0.087772","0.090991","0.087342","1.35B","2.71%"
"Jan 28, 2023","0.087772","0.087212","0.093131","0.086877","1.82B","0.64%"
"Jan 27, 2023","0.087212","0.086440","0.087975","0.083999","1.11B","0.91%"
"Jan 26, 2023","0.086429","0.086543","0.087435","0.084829","1.14B","-0.18%"
"Jan 25, 2023","0.086584","0.083855","0.088040","0.081898","1.54B","3.25%"
"Jan 24, 2023","0.083857","0.088486","0.090749","0.083152","1.59B","-5.23%"
"Jan 23, 2023","0.088486","0.088240","0.091438","0.086869","2.00B","0.28%"
"Jan 22, 2023","0.088240","0.084605","0.093162","0.084502","2.39B","4.30%"
"Jan 21, 2023","0.084605","0.086296","0.088987","0.084370","2.24B","-1.97%"
"Jan 20, 2023","0.086305","0.081607","0.086979","0.080688","1.36B","5.75%"
"Jan 19, 2023","0.081613","0.080042","0.082122","0.079946","1.03B","1.94%"
"Jan 18, 2023","0.080059","0.082806","0.089473","0.079614","3.26B","-3.31%"
"Jan 17, 2023","0.082799","0.083687","0.084890","0.082382","1.06B","-1.06%"
"Jan 16, 2023","0.083687","0.086111","0.088064","0.081928","1.82B","-2.82%"
"Jan 15, 2023","0.086112","0.087297","0.087770","0.082923","1.61B","-1.44%"
"Jan 14, 2023","0.087368","0.084519","0.092126","0.084186","3.61B","3.38%"
"Jan 13, 2023","0.084515","0.080287","0.085061","0.078972","1.94B","5.27%"
"Jan 12, 2023","0.080287","0.078130","0.081125","0.075406","2.68B","2.76%"
"Jan 11, 2023","0.078130","0.077807","0.078372","0.074894","1.52B","0.42%"
"Jan 10, 2023","0.077807","0.075655","0.077807","0.074126","1.97B","2.84%"
"Jan 09, 2023","0.075655","0.073565","0.079454","0.073031","3.32B","2.83%"
"Jan 08, 2023","0.073574","0.072160","0.073902","0.071310","954.11M","1.96%"
"Jan 07, 2023","0.072156","0.072420","0.072949","0.071684","587.15M","-0.36%"
"Jan 06, 2023","0.072420","0.071485","0.072663","0.069947","1.26B","1.31%"
"Jan 05, 2023","0.071485","0.073140","0.075177","0.071085","1.72B","-2.27%"
"Jan 04, 2023","0.073147","0.070473","0.073394","0.070209","1.28B","3.79%"
"Jan 03, 2023","0.070477","0.071382","0.072275","0.069617","1.11B","-1.26%"
